"Reference","Value","Datasheet","Description","Manufacturer_Name","LCSC Part #","JLCPCB Part #","Manufacturer_Part_Number","Footprint","Qty","DNP","Exclude from Board","CASE CODE (METRIC)","#","Exclude from BOM"
"C4,C5,C6,C7,C17,C22,C23,C24,C25","1uF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61A105ME15-01.pdf","CAP CER 1UF 10V X5R 0201","Murata","C181054 ","C181054 ","GRM033R61A105ME15D","apollo4_SE:SMT_0201_0603Metric","9","","","0603","1",""
"C8,C9,C10,C11,C12,C13,C14,C15","2.2uF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R61A225KE47-04A.pdf","CAP CER 2.2UF 10V X5R 0201","Murata","C335106 ","C335106 ","GRM033R61A225KE47D","apollo4_SE:SMT_0201_0603Metric","8","","","0603","2",""
"C16","4.7uF","https://www.murata.com/en-us/api/pdfdownloadapi?cate=luCeramicCapacitorsSMD&partno=GRM035R60J475ME15%23","CAP CER 4.7UF 6.3V X5R 0201","Murata","C335103 ","C335103 ","GRM035R60J475ME15D ","apollo4_SE:SMT_0201_0603Metric","1","","","0603","3",""
"C19,C21","0.1uF","https://www.yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V","CAP CER 0.1UF 16V X5R 0201","YAGEO","C467016 ","C467016 ","CC0201KRX5R7BB104","apollo4_SE:SMT_0201_0603Metric","2","","","0603","4",""
"C20","10uF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R61A106ME11-01A.pdf","CAP CER 10UF 10V X5R 0402","Murata","C408132 ","C408132 ","GRM155R61A106ME11D ","apollo4_SE:SMT_0402_1005Metric","1","","","0402","5",""
"C26","6pF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H6R0CA01-01.pdf","CAP CER 6PF 50V C0G/NP0 0201","Murata Electronics","C161395 ","C161395 ","GRM0335C1E6R0DA01D ","apollo4_SE:SMT_0201_0603Metric","1","","","0603","6",""
"C27","1.5pF","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM0335C1E1R5WB01-01.pdf","CAP CER 1.5PF 25V C0G/NP0 0201","Murata","C435397","C435397","GJM0335C1E1R5WB01D","apollo4_SE:SMT_0201_0603Metric","1","","","0603","7",""
"J1","TC2030-IDC","TC2030-IDC","","","","","DNP","TC2030:TC2030_THL_PINS","1","","Excluded from board","DNP","8","Excluded from BOM"
"L1","AMCA31-2R450G-S1F-T3","https://www.waldom.com/upload/parts/datasheets/mf-abr/abr-amca31-2r450g-s1f-t3.pdf","RF ANT 2.4GHZ CHIP SOLDER SMD","ABRACON","C3283994 ","C3283994 ","AMCA31-2R450G-S1F-T3","apollo4_SE:ANTC3216X140N","1","","","3216","9",""
"L2","DFE201210U-2R2M=P2 (verified)","https://search.murata.co.jp/Ceramy/image/img/P02/J(E)TE243A-0029.pdf","FIXED IND 2.2UH 1.2A 228 MOHM","Murata","C2049745 ","C2049745 ","DFE201210U-2R2M=P2","DFE201210U-2R2M=P2:IND_DFE201210U-2R2M=P2_MUR","1","","","2012","10",""
